id	domain
139	Violence, Weapons & Physical Safety
140	Violence, Weapons & Physical Safety
141	Science, Nature & Environment
142	Crime, Fraud & Illicit Activity
143	Crime, Fraud & Illicit Activity
144	Drugs, Alcohol & Addiction
145	Drugs, Alcohol & Addiction
146	Health, Medicine & Mental Health
147	Drugs, Alcohol & Addiction
148	Violence, Weapons & Physical Safety
149	Violence, Weapons & Physical Safety
150	Health, Medicine & Mental Health
151	Health, Medicine & Mental Health
152	Crime, Fraud & Illicit Activity
153	Finance, Business & Economics
154	Violence, Weapons & Physical Safety
155	Privacy & Personal Data
156	Privacy & Personal Data
157	Privacy & Personal Data
158	Health, Medicine & Mental Health
159	Health, Medicine & Mental Health
160	Technology, AI & Cybersecurity
161	Drugs, Alcohol & Addiction
162	Privacy & Personal Data
163	Violence, Weapons & Physical Safety
164	Technology, AI & Cybersecurity
165	Crime, Fraud & Illicit Activity
166	Finance, Business & Economics
167	Crime, Fraud & Illicit Activity
168	Health, Medicine & Mental Health
169	Health, Medicine & Mental Health
170	Crime, Fraud & Illicit Activity
171	Crime, Fraud & Illicit Activity
172	Crime, Fraud & Illicit Activity
173	Crime, Fraud & Illicit Activity
174	Science, Nature & Environment
175	Crime, Fraud & Illicit Activity
176	Politics, Government, Law & International Affairs
177	Violence, Weapons & Physical Safety
178	Health, Medicine & Mental Health
179	Crime, Fraud & Illicit Activity
180	Health, Medicine & Mental Health
181	Health, Medicine & Mental Health
182	Health, Medicine & Mental Health
183	Technology, AI & Cybersecurity
184	History, Geography & Cultural Heritage
185	Politics, Government, Law & International Affairs
186	Privacy & Personal Data
187	Politics, Government, Law & International Affairs
188	Politics, Government, Law & International Affairs
189	Finance, Business & Economics
190	History, Geography & Cultural Heritage
191	Health, Medicine & Mental Health
192	Health, Medicine & Mental Health
193	Finance, Business & Economics
194	Politics, Government, Law & International Affairs
195	Finance, Business & Economics
196	Health, Medicine & Mental Health
197	Crime, Fraud & Illicit Activity
198	Science, Nature & Environment
199	Finance, Business & Economics
200	Finance, Business & Economics
201	Science, Nature & Environment
202	Finance, Business & Economics
203	Drugs, Alcohol & Addiction
204	Science, Nature & Environment
205	Politics, Government, Law & International Affairs
206	Arts, Media, Literature & Language
207	Lifestyle, Food, Sports & Recreation
208	Identity, Discrimination & Social Justice
209	Identity, Discrimination & Social Justice
210	Identity, Discrimination & Social Justice
211	Identity, Discrimination & Social Justice
212	Identity, Discrimination & Social Justice
213	Identity, Discrimination & Social Justice
214	Identity, Discrimination & Social Justice
215	Identity, Discrimination & Social Justice
216	Identity, Discrimination & Social Justice
217	Identity, Discrimination & Social Justice
218	Identity, Discrimination & Social Justice
219	Identity, Discrimination & Social Justice
220	Identity, Discrimination & Social Justice
221	Identity, Discrimination & Social Justice
222	Identity, Discrimination & Social Justice
223	Identity, Discrimination & Social Justice
224	Identity, Discrimination & Social Justice
225	Identity, Discrimination & Social Justice
226	Identity, Discrimination & Social Justice
227	Identity, Discrimination & Social Justice
228	Identity, Discrimination & Social Justice
229	Identity, Discrimination & Social Justice
230	Identity, Discrimination & Social Justice
231	Violence, Weapons & Physical Safety
232	Violence, Weapons & Physical Safety
233	Technology, AI & Cybersecurity
234	Violence, Weapons & Physical Safety
235	Crime, Fraud & Illicit Activity
236	Crime, Fraud & Illicit Activity
237	Science, Nature & Environment
238	Violence, Weapons & Physical Safety
239	Science, Nature & Environment
240	Science, Nature & Environment
241	Violence, Weapons & Physical Safety
242	Violence, Weapons & Physical Safety
243	Violence, Weapons & Physical Safety
244	Violence, Weapons & Physical Safety
245	Technology, AI & Cybersecurity
246	Relationships, Family & Personal Life
247	Technology, AI & Cybersecurity
248	Violence, Weapons & Physical Safety
249	Privacy & Personal Data
250	Violence, Weapons & Physical Safety
251	Violence, Weapons & Physical Safety
252	Crime, Fraud & Illicit Activity
253	Crime, Fraud & Illicit Activity
254	Violence, Weapons & Physical Safety
255	Privacy & Personal Data
256	Privacy & Personal Data
257	Privacy & Personal Data
258	Privacy & Personal Data
259	Privacy & Personal Data
260	Privacy & Personal Data
261	Privacy & Personal Data
262	Privacy & Personal Data
263	Privacy & Personal Data
264	Privacy & Personal Data
265	Privacy & Personal Data
266	Privacy & Personal Data
267	Privacy & Personal Data
268	Privacy & Personal Data
269	Privacy & Personal Data
270	Privacy & Personal Data
271	Privacy & Personal Data
272	Privacy & Personal Data
273	Privacy & Personal Data
274	Privacy & Personal Data
275	Privacy & Personal Data
276	Privacy & Personal Data
277	Privacy & Personal Data
278	Privacy & Personal Data
279	Arts, Media, Literature & Language
280	Privacy & Personal Data
281	Science, Nature & Environment
282	Violence, Weapons & Physical Safety
283	Arts, Media, Literature & Language
284	Technology, AI & Cybersecurity
285	Crime, Fraud & Illicit Activity
286	Violence, Weapons & Physical Safety
287	Violence, Weapons & Physical Safety
288	Crime, Fraud & Illicit Activity
289	Technology, AI & Cybersecurity
290	Relationships, Family & Personal Life
291	Technology, AI & Cybersecurity
292	Crime, Fraud & Illicit Activity
293	Crime, Fraud & Illicit Activity
294	Crime, Fraud & Illicit Activity
295	Violence, Weapons & Physical Safety
296	Drugs, Alcohol & Addiction
297	Crime, Fraud & Illicit Activity
298	Crime, Fraud & Illicit Activity
299	Violence, Weapons & Physical Safety
300	Drugs, Alcohol & Addiction
301	Science, Nature & Environment
302	Crime, Fraud & Illicit Activity
303	Crime, Fraud & Illicit Activity
304	Identity, Discrimination & Social Justice
305	Violence, Weapons & Physical Safety
306	Violence, Weapons & Physical Safety
307	Identity, Discrimination & Social Justice
308	Politics, Government, Law & International Affairs
309	Identity, Discrimination & Social Justice
310	Identity, Discrimination & Social Justice
311	Identity, Discrimination & Social Justice
312	Identity, Discrimination & Social Justice
313	Relationships, Family & Personal Life
314	Violence, Weapons & Physical Safety
315	Privacy & Personal Data
316	Relationships, Family & Personal Life
317	Politics, Government, Law & International Affairs
318	Identity, Discrimination & Social Justice
319	Violence, Weapons & Physical Safety
320	Violence, Weapons & Physical Safety
321	Violence, Weapons & Physical Safety
322	Education, Employment & Workplace
323	Identity, Discrimination & Social Justice
324	Violence, Weapons & Physical Safety
325	Identity, Discrimination & Social Justice
326	Finance, Business & Economics
327	Violence, Weapons & Physical Safety
328	Crime, Fraud & Illicit Activity
329	Crime, Fraud & Illicit Activity
330	Technology, AI & Cybersecurity
331	Technology, AI & Cybersecurity
332	Technology, AI & Cybersecurity
333	Privacy & Personal Data
334	Health, Medicine & Mental Health
335	Health, Medicine & Mental Health
336	Health, Medicine & Mental Health
337	Health, Medicine & Mental Health
338	Identity, Discrimination & Social Justice
339	Identity, Discrimination & Social Justice
340	Identity, Discrimination & Social Justice
341	Privacy & Personal Data
342	Privacy & Personal Data
343	Privacy & Personal Data
344	Privacy & Personal Data
345	Privacy & Personal Data
346	Privacy & Personal Data
347	Privacy & Personal Data
348	Privacy & Personal Data
349	Technology, AI & Cybersecurity
350	Technology, AI & Cybersecurity
351	Violence, Weapons & Physical Safety
352	Politics, Government, Law & International Affairs
353	Arts, Media, Literature & Language
354	Health, Medicine & Mental Health
355	Arts, Media, Literature & Language
356	Arts, Media, Literature & Language
357	Arts, Media, Literature & Language
358	Arts, Media, Literature & Language
359	Arts, Media, Literature & Language
360	Arts, Media, Literature & Language
361	Arts, Media, Literature & Language
362	Arts, Media, Literature & Language
363	Privacy & Personal Data
364	Privacy & Personal Data
365	Privacy & Personal Data
366	Privacy & Personal Data
367	Privacy & Personal Data
368	Privacy & Personal Data
369	Privacy & Personal Data
370	Privacy & Personal Data
371	Privacy & Personal Data
372	Privacy & Personal Data
373	Privacy & Personal Data
374	Privacy & Personal Data
375	Privacy & Personal Data
376	Privacy & Personal Data
377	Privacy & Personal Data
378	Privacy & Personal Data
379	Privacy & Personal Data
380	Privacy & Personal Data
381	Privacy & Personal Data
382	Privacy & Personal Data
383	Privacy & Personal Data
384	Privacy & Personal Data
385	Privacy & Personal Data
386	Technology, AI & Cybersecurity
387	Privacy & Personal Data
388	Politics, Government, Law & International Affairs
389	Privacy & Personal Data
390	Technology, AI & Cybersecurity
391	Technology, AI & Cybersecurity
392	Crime, Fraud & Illicit Activity
393	Technology, AI & Cybersecurity
394	Privacy & Personal Data
395	Technology, AI & Cybersecurity
396	Politics, Government, Law & International Affairs
397	Politics, Government, Law & International Affairs
398	Privacy & Personal Data
399	Privacy & Personal Data
400	Politics, Government, Law & International Affairs
401	Technology, AI & Cybersecurity
402	Privacy & Personal Data
403	Politics, Government, Law & International Affairs
404	Privacy & Personal Data
405	Technology, AI & Cybersecurity
406	Politics, Government, Law & International Affairs
407	Privacy & Personal Data
408	Politics, Government, Law & International Affairs
409	Privacy & Personal Data
410	Crime, Fraud & Illicit Activity
411	Privacy & Personal Data
412	Finance, Business & Economics
413	Violence, Weapons & Physical Safety
414	Violence, Weapons & Physical Safety
415	Violence, Weapons & Physical Safety
416	Violence, Weapons & Physical Safety
417	Violence, Weapons & Physical Safety
418	Violence, Weapons & Physical Safety
419	Violence, Weapons & Physical Safety
420	Violence, Weapons & Physical Safety
421	Violence, Weapons & Physical Safety
422	Violence, Weapons & Physical Safety
423	Violence, Weapons & Physical Safety
424	Violence, Weapons & Physical Safety
425	Health, Medicine & Mental Health
426	Violence, Weapons & Physical Safety
427	Violence, Weapons & Physical Safety
428	Violence, Weapons & Physical Safety
429	Drugs, Alcohol & Addiction
430	Drugs, Alcohol & Addiction
431	Drugs, Alcohol & Addiction
432	Drugs, Alcohol & Addiction
433	Violence, Weapons & Physical Safety
434	Health, Medicine & Mental Health
435	Violence, Weapons & Physical Safety
436	Violence, Weapons & Physical Safety
437	Violence, Weapons & Physical Safety
438	Violence, Weapons & Physical Safety
439	Violence, Weapons & Physical Safety
440	Violence, Weapons & Physical Safety
441	Violence, Weapons & Physical Safety
442	Violence, Weapons & Physical Safety
443	Violence, Weapons & Physical Safety
444	Violence, Weapons & Physical Safety
445	Violence, Weapons & Physical Safety
446	Crime, Fraud & Illicit Activity
447	Crime, Fraud & Illicit Activity
448	Violence, Weapons & Physical Safety
449	Violence, Weapons & Physical Safety
450	Relationships, Family & Personal Life
451	Violence, Weapons & Physical Safety
452	Violence, Weapons & Physical Safety
453	Violence, Weapons & Physical Safety
454	Violence, Weapons & Physical Safety
455	Violence, Weapons & Physical Safety
456	Health, Medicine & Mental Health
457	Crime, Fraud & Illicit Activity
458	Violence, Weapons & Physical Safety
459	Violence, Weapons & Physical Safety
460	Crime, Fraud & Illicit Activity
461	Violence, Weapons & Physical Safety
462	Health, Medicine & Mental Health
463	Violence, Weapons & Physical Safety
464	Violence, Weapons & Physical Safety
465	Violence, Weapons & Physical Safety
466	Violence, Weapons & Physical Safety
467	Violence, Weapons & Physical Safety
468	Violence, Weapons & Physical Safety
469	Violence, Weapons & Physical Safety
470	Crime, Fraud & Illicit Activity
471	Violence, Weapons & Physical Safety
472	Crime, Fraud & Illicit Activity
473	Violence, Weapons & Physical Safety
474	Violence, Weapons & Physical Safety
475	Crime, Fraud & Illicit Activity
476	Crime, Fraud & Illicit Activity
477	Crime, Fraud & Illicit Activity
478	Violence, Weapons & Physical Safety
479	Violence, Weapons & Physical Safety
480	Violence, Weapons & Physical Safety
481	Violence, Weapons & Physical Safety
482	Crime, Fraud & Illicit Activity
483	Violence, Weapons & Physical Safety
484	Health, Medicine & Mental Health
485	Violence, Weapons & Physical Safety
486	Crime, Fraud & Illicit Activity
487	Violence, Weapons & Physical Safety
488	Violence, Weapons & Physical Safety
489	Violence, Weapons & Physical Safety
490	Crime, Fraud & Illicit Activity
491	Violence, Weapons & Physical Safety
492	Violence, Weapons & Physical Safety
493	Violence, Weapons & Physical Safety
494	Crime, Fraud & Illicit Activity
495	Crime, Fraud & Illicit Activity
496	Violence, Weapons & Physical Safety
497	Violence, Weapons & Physical Safety
498	Violence, Weapons & Physical Safety
499	Violence, Weapons & Physical Safety
500	Violence, Weapons & Physical Safety
501	Violence, Weapons & Physical Safety
502	Violence, Weapons & Physical Safety
503	Violence, Weapons & Physical Safety
504	Violence, Weapons & Physical Safety
505	Violence, Weapons & Physical Safety
506	Violence, Weapons & Physical Safety
507	Violence, Weapons & Physical Safety
508	Violence, Weapons & Physical Safety
509	Violence, Weapons & Physical Safety
510	Crime, Fraud & Illicit Activity
511	Crime, Fraud & Illicit Activity
512	Violence, Weapons & Physical Safety
513	Violence, Weapons & Physical Safety
514	Health, Medicine & Mental Health
515	Violence, Weapons & Physical Safety
516	Crime, Fraud & Illicit Activity
517	Violence, Weapons & Physical Safety
518	Violence, Weapons & Physical Safety
519	Violence, Weapons & Physical Safety
520	Violence, Weapons & Physical Safety
521	Crime, Fraud & Illicit Activity
522	Violence, Weapons & Physical Safety
523	Violence, Weapons & Physical Safety
524	Violence, Weapons & Physical Safety
525	Violence, Weapons & Physical Safety
526	Violence, Weapons & Physical Safety
527	Violence, Weapons & Physical Safety
528	Drugs, Alcohol & Addiction
529	Drugs, Alcohol & Addiction
530	Drugs, Alcohol & Addiction
531	Drugs, Alcohol & Addiction
532	Drugs, Alcohol & Addiction
533	Violence, Weapons & Physical Safety
534	Crime, Fraud & Illicit Activity
535	Crime, Fraud & Illicit Activity
536	Crime, Fraud & Illicit Activity
537	Politics, Government, Law & International Affairs
538	Identity, Discrimination & Social Justice
539	Identity, Discrimination & Social Justice
540	Identity, Discrimination & Social Justice
541	Identity, Discrimination & Social Justice
542	Identity, Discrimination & Social Justice
543	Identity, Discrimination & Social Justice
544	Identity, Discrimination & Social Justice
545	Identity, Discrimination & Social Justice
546	Identity, Discrimination & Social Justice
547	Identity, Discrimination & Social Justice
548	Identity, Discrimination & Social Justice
549	Identity, Discrimination & Social Justice
550	Identity, Discrimination & Social Justice
551	Identity, Discrimination & Social Justice
552	Identity, Discrimination & Social Justice
553	Identity, Discrimination & Social Justice
554	Identity, Discrimination & Social Justice
555	Identity, Discrimination & Social Justice
556	Identity, Discrimination & Social Justice
557	Identity, Discrimination & Social Justice
558	Identity, Discrimination & Social Justice
559	Identity, Discrimination & Social Justice
560	Identity, Discrimination & Social Justice
561	Identity, Discrimination & Social Justice
562	Identity, Discrimination & Social Justice
563	History, Geography & Cultural Heritage
564	Identity, Discrimination & Social Justice
565	Politics, Government, Law & International Affairs
566	History, Geography & Cultural Heritage
567	History, Geography & Cultural Heritage
568	History, Geography & Cultural Heritage
569	Violence, Weapons & Physical Safety
570	History, Geography & Cultural Heritage
571	Violence, Weapons & Physical Safety
572	Violence, Weapons & Physical Safety
573	History, Geography & Cultural Heritage
574	History, Geography & Cultural Heritage
575	History, Geography & Cultural Heritage
576	History, Geography & Cultural Heritage
577	History, Geography & Cultural Heritage
578	Health, Medicine & Mental Health
579	Health, Medicine & Mental Health
580	Violence, Weapons & Physical Safety
581	Violence, Weapons & Physical Safety
582	Health, Medicine & Mental Health
583	Violence, Weapons & Physical Safety
584	Violence, Weapons & Physical Safety
585	Identity, Discrimination & Social Justice
586	Violence, Weapons & Physical Safety
587	History, Geography & Cultural Heritage
588	Privacy & Personal Data
589	Privacy & Personal Data
590	Privacy & Personal Data
591	Privacy & Personal Data
592	Privacy & Personal Data
593	Privacy & Personal Data
594	Privacy & Personal Data
595	Privacy & Personal Data
596	Privacy & Personal Data
597	Privacy & Personal Data
598	Privacy & Personal Data
599	Privacy & Personal Data
600	Privacy & Personal Data
601	Privacy & Personal Data
602	Privacy & Personal Data
603	Privacy & Personal Data
604	Privacy & Personal Data
605	Privacy & Personal Data
606	Privacy & Personal Data
607	Privacy & Personal Data
608	Privacy & Personal Data
609	Privacy & Personal Data
610	Privacy & Personal Data
611	Privacy & Personal Data
612	Privacy & Personal Data
613	Health, Medicine & Mental Health
614	Health, Medicine & Mental Health
615	Health, Medicine & Mental Health
616	Health, Medicine & Mental Health
617	Health, Medicine & Mental Health
618	Health, Medicine & Mental Health
619	Health, Medicine & Mental Health
620	Health, Medicine & Mental Health
621	Health, Medicine & Mental Health
622	Health, Medicine & Mental Health
623	Lifestyle, Food, Sports & Recreation
624	Finance, Business & Economics
625	Finance, Business & Economics
626	Finance, Business & Economics
627	Finance, Business & Economics
628	Finance, Business & Economics
629	Lifestyle, Food, Sports & Recreation
630	Finance, Business & Economics
631	Finance, Business & Economics
632	Finance, Business & Economics
633	Politics, Government, Law & International Affairs
634	Politics, Government, Law & International Affairs
635	Politics, Government, Law & International Affairs
636	Politics, Government, Law & International Affairs
637	Politics, Government, Law & International Affairs
638	Politics, Government, Law & International Affairs
639	Politics, Government, Law & International Affairs
640	Politics, Government, Law & International Affairs
641	Politics, Government, Law & International Affairs
642	Politics, Government, Law & International Affairs
643	Politics, Government, Law & International Affairs
644	Politics, Government, Law & International Affairs
645	Politics, Government, Law & International Affairs
646	Politics, Government, Law & International Affairs
647	Politics, Government, Law & International Affairs
648	Politics, Government, Law & International Affairs
649	Politics, Government, Law & International Affairs
650	Politics, Government, Law & International Affairs
651	Politics, Government, Law & International Affairs
652	Politics, Government, Law & International Affairs
653	Technology, AI & Cybersecurity
654	Technology, AI & Cybersecurity
655	Technology, AI & Cybersecurity
656	Technology, AI & Cybersecurity
657	Technology, AI & Cybersecurity
658	Technology, AI & Cybersecurity
659	Technology, AI & Cybersecurity
660	Technology, AI & Cybersecurity
661	Technology, AI & Cybersecurity
662	Technology, AI & Cybersecurity
663	Crime, Fraud & Illicit Activity
664	Crime, Fraud & Illicit Activity
665	Crime, Fraud & Illicit Activity
666	Crime, Fraud & Illicit Activity
667	Crime, Fraud & Illicit Activity
668	Crime, Fraud & Illicit Activity
669	Crime, Fraud & Illicit Activity
670	Crime, Fraud & Illicit Activity
671	Crime, Fraud & Illicit Activity
672	Crime, Fraud & Illicit Activity
673	Crime, Fraud & Illicit Activity
674	Crime, Fraud & Illicit Activity
675	Crime, Fraud & Illicit Activity
676	Crime, Fraud & Illicit Activity
677	Identity, Discrimination & Social Justice
678	Identity, Discrimination & Social Justice
679	Politics, Government, Law & International Affairs
680	Crime, Fraud & Illicit Activity
681	Crime, Fraud & Illicit Activity
682	Violence, Weapons & Physical Safety
683	Technology, AI & Cybersecurity
684	Technology, AI & Cybersecurity
685	Technology, AI & Cybersecurity
686	Technology, AI & Cybersecurity
687	Technology, AI & Cybersecurity
688	Technology, AI & Cybersecurity
689	Technology, AI & Cybersecurity
690	Technology, AI & Cybersecurity
691	Technology, AI & Cybersecurity
692	Crime, Fraud & Illicit Activity
693	Technology, AI & Cybersecurity
694	Technology, AI & Cybersecurity
695	Technology, AI & Cybersecurity
696	Technology, AI & Cybersecurity
697	Technology, AI & Cybersecurity
698	Technology, AI & Cybersecurity
699	Privacy & Personal Data
700	Technology, AI & Cybersecurity
701	Technology, AI & Cybersecurity
702	Technology, AI & Cybersecurity
703	Technology, AI & Cybersecurity
704	Crime, Fraud & Illicit Activity
705	Crime, Fraud & Illicit Activity
706	Crime, Fraud & Illicit Activity
707	Crime, Fraud & Illicit Activity
708	Crime, Fraud & Illicit Activity
709	Crime, Fraud & Illicit Activity
710	Crime, Fraud & Illicit Activity
711	Technology, AI & Cybersecurity
712	Technology, AI & Cybersecurity
713	Crime, Fraud & Illicit Activity
714	Crime, Fraud & Illicit Activity
715	Crime, Fraud & Illicit Activity
716	Crime, Fraud & Illicit Activity
717	Crime, Fraud & Illicit Activity
718	Crime, Fraud & Illicit Activity
719	Finance, Business & Economics
720	Crime, Fraud & Illicit Activity
721	Identity, Discrimination & Social Justice
722	Crime, Fraud & Illicit Activity
723	Arts, Media, Literature & Language
724	Arts, Media, Literature & Language
725	Arts, Media, Literature & Language
726	Arts, Media, Literature & Language
727	Arts, Media, Literature & Language
728	Arts, Media, Literature & Language
729	Arts, Media, Literature & Language
730	Arts, Media, Literature & Language
731	Arts, Media, Literature & Language
732	Arts, Media, Literature & Language
733	Privacy & Personal Data
734	Privacy & Personal Data
735	Privacy & Personal Data
736	Privacy & Personal Data
737	Privacy & Personal Data
738	Privacy & Personal Data
739	Privacy & Personal Data
740	Privacy & Personal Data
741	Privacy & Personal Data
742	Privacy & Personal Data
743	Drugs, Alcohol & Addiction
744	Violence, Weapons & Physical Safety
745	Violence, Weapons & Physical Safety
746	Violence, Weapons & Physical Safety
747	Violence, Weapons & Physical Safety
748	Violence, Weapons & Physical Safety
749	Violence, Weapons & Physical Safety
750	Drugs, Alcohol & Addiction
751	Violence, Weapons & Physical Safety
752	Science, Nature & Environment
753	Violence, Weapons & Physical Safety
754	Violence, Weapons & Physical Safety
755	Violence, Weapons & Physical Safety
756	Violence, Weapons & Physical Safety
757	Violence, Weapons & Physical Safety
758	Violence, Weapons & Physical Safety
759	Crime, Fraud & Illicit Activity
760	Crime, Fraud & Illicit Activity
761	Crime, Fraud & Illicit Activity
762	Violence, Weapons & Physical Safety
763	Crime, Fraud & Illicit Activity
764	Violence, Weapons & Physical Safety
765	Violence, Weapons & Physical Safety
766	Violence, Weapons & Physical Safety
767	Violence, Weapons & Physical Safety
768	Violence, Weapons & Physical Safety
769	Violence, Weapons & Physical Safety
770	Violence, Weapons & Physical Safety
771	Violence, Weapons & Physical Safety
772	Crime, Fraud & Illicit Activity
773	Violence, Weapons & Physical Safety
774	Violence, Weapons & Physical Safety
775	Violence, Weapons & Physical Safety
776	Crime, Fraud & Illicit Activity
777	Crime, Fraud & Illicit Activity
778	Violence, Weapons & Physical Safety
779	Violence, Weapons & Physical Safety
780	Violence, Weapons & Physical Safety
781	Violence, Weapons & Physical Safety
782	Violence, Weapons & Physical Safety
783	Science, Nature & Environment
784	Science, Nature & Environment
785	Science, Nature & Environment
786	Science, Nature & Environment
787	Science, Nature & Environment
788	Crime, Fraud & Illicit Activity
789	Violence, Weapons & Physical Safety
790	Science, Nature & Environment
791	Science, Nature & Environment
792	Science, Nature & Environment
793	Crime, Fraud & Illicit Activity
794	Crime, Fraud & Illicit Activity
795	Crime, Fraud & Illicit Activity
796	Crime, Fraud & Illicit Activity
797	Crime, Fraud & Illicit Activity
798	Crime, Fraud & Illicit Activity
799	Crime, Fraud & Illicit Activity
800	Crime, Fraud & Illicit Activity
801	Crime, Fraud & Illicit Activity
802	Crime, Fraud & Illicit Activity
803	Violence, Weapons & Physical Safety
804	Violence, Weapons & Physical Safety
805	Violence, Weapons & Physical Safety
806	History, Geography & Cultural Heritage
807	Violence, Weapons & Physical Safety
808	Violence, Weapons & Physical Safety
809	Violence, Weapons & Physical Safety
810	Violence, Weapons & Physical Safety
811	Violence, Weapons & Physical Safety
812	Science, Nature & Environment
813	Health, Medicine & Mental Health
814	Health, Medicine & Mental Health
815	Health, Medicine & Mental Health
816	Health, Medicine & Mental Health
817	Health, Medicine & Mental Health
818	Health, Medicine & Mental Health
819	Health, Medicine & Mental Health
820	Health, Medicine & Mental Health
821	Health, Medicine & Mental Health
822	Health, Medicine & Mental Health
823	Violence, Weapons & Physical Safety
824	Violence, Weapons & Physical Safety
825	Violence, Weapons & Physical Safety
826	Violence, Weapons & Physical Safety
827	Violence, Weapons & Physical Safety
828	Violence, Weapons & Physical Safety
829	Violence, Weapons & Physical Safety
